create_time,symbol,sum_open_interest,sum_open_interest_value,count_toptrader_long_short_ratio,sum_toptrader_long_short_ratio,count_long_short_ratio,sum_taker_long_short_vol_ratio
2026-06-24 10:50:00,HYPEUSDT,5638740.0300000000000000,350261614.4435100000000000,1.16222450,1.56498900,1.20825722,1.07185500
2026-06-24 10:55:00,HYPEUSDT,5635688.8100000000000000,349694490.6605000000000000,1.16128619,1.56579100,1.20353660,0.88720500
2026-06-24 11:00:00,HYPEUSDT,5633714.1900000000000000,350225476.3355400000000000,1.15693291,1.56603400,1.20601915,1.52661600
2026-06-24 11:05:00,HYPEUSDT,5634617.7200000000000000,348842832.1363278000000000,1.15919570,1.56882000,1.20344702,0.35484600
2026-06-24 11:10:00,HYPEUSDT,5636395.9200000000000000,349429224.1035021500000000,1.15718123,1.56800400,1.20395516,0.93938900
2026-06-24 11:15:00,HYPEUSDT,5617018.6100000000000000,346596341.2202624700000000,1.16302391,1.56805600,1.20245062,0.36564800
2026-06-24 11:20:00,HYPEUSDT,5608252.7400000000000000,347271328.5503368400000000,1.15732067,1.56398500,1.19835691,1.98226500
2026-06-24 11:25:00,HYPEUSDT,5610655.8400000000000000,347101384.0880828500000000,1.15949660,1.56485700,1.19772002,0.50742500
2026-06-24 11:30:00,HYPEUSDT,5607555.5700000000000000,347727030.9497242600000000,1.16387745,1.56372200,1.20586081,0.92879100
2026-06-24 11:35:00,HYPEUSDT,5609089.7000000000000000,349638466.3803924300000000,1.16554925,1.56227400,1.20807339,2.21062800
2026-06-24 11:40:00,HYPEUSDT,5605888.8700000000000000,350911825.5953900000000000,1.16404639,1.56119000,1.21063752,1.77035400
2026-06-24 11:45:00,HYPEUSDT,5593081.2300000000000000,353085624.9686700000000000,1.17304927,1.55956400,1.23106487,1.74273900
2026-06-24 11:50:00,HYPEUSDT,5603197.0600000000000000,352004045.7033200000000000,1.17566331,1.56632500,1.22786349,1.16051900
2026-06-24 11:55:00,HYPEUSDT,5605936.3400000000000000,350645858.9501327000000000,1.17755422,1.56615100,1.23056777,0.89626400
2026-06-24 12:00:00,HYPEUSDT,5602248.8600000000000000,350612343.1601482000000000,1.17917866,1.56384900,1.23335518,1.58848800
2026-06-24 12:05:00,HYPEUSDT,5601331.4300000000000000,350083987.9188705000000000,1.17867398,1.56889300,1.23413403,0.84151700
2026-06-24 12:10:00,HYPEUSDT,5594805.1600000000000000,349593401.4046654700000000,1.17936342,1.57192300,1.22998789,1.24078200
2026-06-24 12:15:00,HYPEUSDT,5594671.6000000000000000,349551778.0263136000000000,1.17964775,1.57137300,1.23543145,0.91579500
2026-06-24 12:20:00,HYPEUSDT,5593187.0700000000000000,348690468.3179400000000000,1.18025303,1.57127400,1.23463010,0.72874200
2026-06-24 12:25:00,HYPEUSDT,5601045.2800000000000000,348821897.9478400000000000,1.17821265,1.57406000,1.23677323,0.52238300
