address,coin,szi,entryPx,positionValue,unrealizedPnl,leverage_type,leverage,liquidationPx
0x418aa6bf98a2b2bc93779f810330d88cde488888,ETH,-6724.3828,2494.55,18102038.4976000004,-1327715.3228800001,cross,25,3432.2724494734
0x418aa6bf98a2b2bc93779f810330d88cde488888,BNB,-1000.0,670.359,781070.0,-110710.320933,cross,5,5497.7784846218
0x418aa6bf98a2b2bc93779f810330d88cde488888,ENA,-296046.0,0.214253,66065.62536,-2636.68587,cross,10,16.5572780669
0x859da4fd374026150f0f5176b24ac3d71c4e0a3f,XLM,550000.0,0.203778,118426.0,6347.75681,cross,5,0.143703826
0xfc55a72ec00ea3595ba5119882c7e7adb52985ca,TAO,30.0,281.5,9028.2,583.2,cross,5,
0xfc55a72ec00ea3595ba5119882c7e7adb52985ca,PUMP,1280409.0,0.004255,4980.79101,-467.349285,isolated,6,0.0037351368
0xfc55a72ec00ea3595ba5119882c7e7adb52985ca,ASTER,7501.0,0.75,5374.76654,-250.98346,cross,3,
0xfc55a72ec00ea3595ba5119882c7e7adb52985ca,LIT,1000.0,2.46,5180.5,2720.5,isolated,5,2.25352465
0x0f22ddd9f89148fd9cf703d8f332fccf911d3549,HYPE,-3100.0,92.1431,289722.9,-4079.2109,cross,10,153.3866581198
0x5c3f126c107ee8c914e6a5b3d21f40d4f83937f4,BTC,41.54708,76011.2,3506989.0227999999,348943.978506,cross,10,70808.2452709711
0xf65e7be8343965ca1088c5ee937da8dab527e3ad,ARB,443085.6,0.22604,97204.118928,-2955.07612,cross,10,
0xf65e7be8343965ca1088c5ee937da8dab527e3ad,DOGE,810913.0,0.092657,78002.532383,2865.3573,cross,10,
0xf65e7be8343965ca1088c5ee937da8dab527e3ad,TAO,338.089,295.694,101419.93822,1448.7681,cross,5,
0x766337d18e12df977b5f54516b2333e39e7dcb5a,BTC,5.49959,81741.3,464170.89559,14626.98339,cross,3,
0x766337d18e12df977b5f54516b2333e39e7dcb5a,ENA,544333.0,0.220856,120733.0594,513.469956,cross,3,
0x2d760d867ebebd7da5b0be18fed71b4bcc9610eb,BTC,44.94806,83576.4,3794425.3290800001,37827.5139,cross,38,79233.5913626821
0x2d760d867ebebd7da5b0be18fed71b4bcc9610eb,ETH,533.7197,2653.22,1435492.5051200001,19411.59107,cross,25,2249.6452886703
0x5a91f0cedd209cc26de628ac0392a6ca4702417f,HYPE,5221.97,96.9883,487074.02978,-19396.22958,cross,9,25.9004514935
0xb27c6663010d0f86df023638beb563cd1d7279af,NEAR,314.3,4.18147,1481.54734,167.31009,cross,10,3.9632648994
0x94b227df8fe384dfa9273334c72e5efbf934599e,BTC,-0.70246,76721.0,59325.55684,-5432.12318,cross,20,1218288.0531057874
