address,display_name,account_value,day_pnl,day_roi,day_vlm,week_pnl,week_roi,week_vlm,month_pnl,month_roi,month_vlm,allTime_pnl,allTime_roi,allTime_vlm,vlm_to_acct
0x80474420d1d4d42e7bc25cfe0918eff0ddcc8852,,44552.957819,-14674.634464,-0.2473492333,3529059.6,5973.083352,0.2095767091,15327911.25,3393.272834,0.0703127117,29142067.75,5319.787819,0.1123882768,57567305.65,1292.1
0x8469d67d13dbe12211a60008faa9547e27a1804d,,457601.173915,-797.458132,-0.0017396608,564346.16,-3153.33712,-0.006559142,2782456.4200000004,12618.204091,0.0270048713,4975654.92,-249884.086085,-0.196921189,1024959171.5500001,2239.9
0xce731ca6a46ce54eb47e6f20c5e745d07de2c009,,93580.302626,-34129.455572,-0.2672441658,35535690.91,-33941.809129,-0.2231886336,44087666.76,43056.512626,0.5734868913,58219023.52,43056.512626,0.5734868913,58219023.52,622.1
0x0dd73d2b71efb30daf8cd48c9dfa8dc35868fe65,,2909017.876392,22839.481394,0.0079117562,52565.41,326216.822321,0.1252912051,1255405.92,447488.028076,0.1802644344,2838600.53,2428319.556392,2.0573379382,179121112.04,61.6
0x7cff84d9bb1fc0640e32c395b128f6c3c8628acd,,22088.523381,555.859855,0.0258147281,0.0,7159.039304,0.4795235567,842859.36,2265.494182,0.1142859731,1103289.04,34083.19362,0.8822770976,13983387.92,633.1
0x06b58a6711983515181262fd0d943f73fcb767d3,,187329.99746,7539.141095,0.0419328393,113949.12,15991.802278,0.0933347189,1311033.17,69942.092433,0.592312694,4531356.09,56547.33746,0.4300903511,19301089.13,103.0
0x4ffc5f22770ab6046c8d66dabae3a9cd1e7a03e7,,79348.156648,3185.797214,0.0418290247,3522318.03,2744.879414,0.0358324019,16942322.47,-21106.440989,-0.2101092582,20290424.54,-101345.373352,-0.5608688554,117531047.47,1481.2
0x76f5ca620db55b137e4e08dce2ee9db5042cddee,,74795.898024,-369.187196,-0.0049051791,124959.42,12466.530616,0.1795577575,1130301.74,16505.594846,0.2524176309,2824721.41,33408.362766,0.4125182363,13936598.73,186.3
0x06ac0a0b0f7d698c52d49e8fc4bb7c806d6228a7,,228511.776736,9197.756316,0.0419198298,3883.65,7379.230464,0.0333552367,474713.26,-6752.897134,-0.0286913317,1432910.46,2753.976736,0.0116928123,14825099.5,64.9
0xbfc79c444c41a74516bf31237ebf586a231480b4,,4118019.614382,-1032956.244932,-0.2005360291,74973.58,-3350377.439056,-0.4486073002,3766057.66,-4446650.826466,-0.5191852806,10482538.54,9352097.234382,1.6739097582,461108445.9,112.0
